id,name,symbol,atomic_number,row,column,category,atomic_weight,half_life,block,standard_state,density,electronegativity,year_discovered,name_alternates,wikipedia,melting_point,boiling_point,cost_usd_per_kg,cost_date
iridium,Iridium,Ir,77,5,8,transition-metal,192.217,,d,solid,22.42,2.2,1803,,Iridium,2719,4701,144000,2025
platinum,Platinum,Pt,78,5,9,transition-metal,195.084,,d,solid,21.46,2.28,1735,,Platinum,2041.4,4098,27800,2019
gold,Gold,Au,79,5,10,transition-metal,196.967,,d,solid,19.282,2.54,,,Gold,1337.33,3243,75430,2024
mercury,Mercury,Hg,80,5,11,transition-metal,200.592,,d,liquid,13.534,2,,Quicksilver,Mercury,234.32,629.88,30.2,2017
thallium,Thallium,Tl,81,5,12,post-transition-metal,204.383,,p,solid,11.8,1.62,1861,,Thallium,577,1746,~4200,2017
lead,Lead,Pb,82,5,13,post-transition-metal,207.2,,p,solid,11.342,2.33,,,Lead,600.61,2022,2.0,2019
bismuth,Bismuth,Bi,83,5,14,post-transition-metal,208.98,5.998e26,p,solid,9.807,2.02,1753,,Bismuth,544.7,1837,6.36,2019
polonium,Polonium,Po,84,5,15,metalloid,209,8.798e6,p,solid,9.32,2.0,1898,,Polonium,527,1235,~4.92e13,2004
astatine,Astatine,At,85,5,16,halogen,210,29160,p,solid,7.0,2.2,1940,,Astatine,575,610,~1e12?,
radon,Radon,Rn,86,5,17,noble-gas,222,330350,p,gas,0.00973,,1900,,Radon,202,211.5,~1e13?,
francium,Francium,Fr,87,6,0,alkali-metal,223,1320,s,solid,,,1939,,Francium,300,893,~1e23?,
radium,Radium,Ra,88,6,1,alkaline-earth-metal,226,5.049e10,s,solid,5.0,0.9,1898,,Radium,973,2010,~1e7?,
actinium,Actinium,Ac,89,9,2,actinide,227,6.867e8,f,solid,10.07,1.1,1899,,Actinium,1323,3471,~2.9e13,2004
thorium,Thorium,Th,90,9,3,actinide,232.038,4.42e17,f,solid,11.72,1.3,1828,,Thorium,2115,5061,287,2010
protactinium,Protactinium,Pa,91,9,4,actinide,231.036,1.034e12,f,solid,15.37,1.5,1913,,Protactinium,1841,4300,~2.8e8?,
uranium,Uranium,U,92,9,5,actinide,238.029,1.41e17,f,solid,18.95,1.38,1789,,Uranium,1405.3,4404,101,2018
neptunium,Neptunium,Np,93,9,6,actinide,237,6.77e13,f,solid,20.25,1.36,1940,,Neptunium,917,4273,~660000,2003
plutonium,Plutonium,Pu,94,9,7,actinide,244,2.536e15,f,solid,19.84,1.28,1940,,Plutonium,912.5,3501,~6490000,2019
americium,Americium,Am,95,9,8,actinide,243,2.329e11,f,solid,13.69,1.3,1944,,Americium,1449,2880,~750000,2004
curium,Curium,Cm,96,9,9,actinide,247,4.924e14,f,solid,13.51,1.3,1944,,Curium,1613,3383,~1.6e11,2004
berkelium,Berkelium,Bk,97,9,10,actinide,247,4.354e10,f,solid,14.0,1.3,1949,,Berkelium,1259,2900,~1.85e11,2004
californium,Californium,Cf,98,9,11,actinide,251,2.84e10,f,solid,,1.3,1950,,Californium,1173,,~6e10,2004
einsteinium,Einsteinium,Es,99,9,12,actinide,252,3.528e7,f,solid,,1.3,1952,,Einsteinium,1133,,~1e10?,
fermium,Fermium,Fm,100,9,13,actinide,257,8.67e6,f,solid,,1.3,1952,,Fermium,1800,,~1e17?,
mendelevium,Mendelevium,Md,101,9,14,actinide,258,4.449e6,f,solid,,1.3,1955,,Mendelevium,1100,,~1e19?,
nobelium,Nobelium,No,102,9,15,actinide,259,3480,f,solid,,1.3,1957,,Nobelium,1100,,~1e19?,
lawrencium,Lawrencium,Lr,103,9,16,actinide,266,39600,f,solid,,1.3,1961,,Lawrencium,1900,,~1e19?,
rutherfordium,Rutherfordium,Rf,104,6,3,transition-metal,267,4680,d,solid,,,1964,,Rutherfordium,,,~1e25?,
dubnium,Dubnium,Db,105,6,4,transition-metal,268,115200,d,solid,,,1967,,Dubnium,,,~1e25?,
seaborgium,Seaborgium,Sg,106,6,5,transition-metal,269,480,d,solid,,,1974,,Seaborgium,,,~1e26?,
bohrium,Bohrium,Bh,107,6,6,transition-metal,270,61,d,solid,,,1976,,Bohrium,,,~1e27?,
hassium,Hassium,Hs,108,6,7,transition-metal,269,16,d,solid,,,1984,,Hassium,,,~1e27?,
meitnerium,Meitnerium,Mt,109,6,8,transition-metal,278,4.5,d,solid,,,1982,,Meitnerium,,,~1e28?,
darmstadtium,Darmstadtium,Ds,110,6,9,transition-metal,281,12.7,d,solid,,,1994,,Darmstadtium,,,~1e29?,
roentgenium,Roentgenium,Rg,111,6,10,transition-metal,282,100,d,solid,,,1994,,Roentgenium,,,~1e29?,
copernicium,Copernicium,Cn,112,6,11,transition-metal,285,28,d,solid,,,1996,,Copernicium,,,~1e29?,
nihonium,Nihonium,Nh,113,6,12,post-transition-metal,286,9.5,p,solid,,,2004,,Nihonium,,,~1e31?,
flerovium,Flerovium,Fl,114,6,13,post-transition-metal,289,1.9,p,solid,,,1998,,Flerovium,,,~1e30?,
moscovium,Moscovium,Mc,115,6,14,post-transition-metal,290,0.65,p,solid,,,2003,,Moscovium,,,~1e30?,
livermorium,Livermorium,Lv,116,6,15,post-transition-metal,293,0.061,p,solid,,,2000,,Livermorium,,,~1e30?,
tennessine,Tennessine,Ts,117,6,16,halogen,294,0.051,p,solid,,,2010,,Tennessine,,,~1e31?,
oganesson,Oganesson,Og,118,6,17,noble-gas,294,0.00069,p,gas,,,2006,,Oganesson,,,~1e31?,
