rank,name,alternates,distance_ly,x,y,z,spectral_class,spectral_type,luminosity,magnitude,star_count,wikipedia
917,Gl 125,,51.4,24.3,26.4,36.81,M,M2,0.019552396696208865,10.11,1,
918,Gl 758,,51.4,15.33,-40.17,28.16,G,G8V,0.6126324544438647,6.37,1,
919,Gl 778,,51.42,24.29,-40.48,20.37,K,K1V,0.2652161705507879,7.28,1,
920,HIP 82926,,51.48,-10.88,-38.44,-32.46,M,M3Ve+...,0.007318127976744553,11.18,1,
921,Gl 802,,51.53,19.15,-22.16,42.38,M,dM5  e,0.0002918770848197,14.68,1,
922,Gl 433.1,,51.56,-44.52,4.47,25.62,D,DA,0.002195836500973188,12.49,1,
923,Gl 32 A and B,Gl 32,51.59,37.63,7.62,-34.46,K,K5V comp SB,0.20535670459776145,7.89,2,
924,Gl 781,,51.63,15.58,-25.67,42,M,M3,0.003522086356184671,11.98,1,
925,Gl 557,28Sig Boo,51.64,-35.01,-28.01,25.62,F,F3Vwvar,3.5579513055974274,4.47,1,
926,HD 135599,,51.68,-33.9,-39,0.72,K,K0,0.37325015779572046,6.92,1,
927,GJ 4129,,51.69,25.49,-44.93,1.83,K,k,0.003630780547701014,11.95,1,
928,Gl 462,,51.71,-38.17,-3.66,34.69,M,M0V,0.03948207780378825,9.36,1,
929,Gl 777 A and B,Gl 777,51.72,23.03,-38.47,25.78,G,G6IV+...,1.1182853974530857,5.73,2,
930,Gl 889.1,,51.72,50.32,-11.59,3,M,M1V:,0.009558725718846901,10.9,1,
931,Gl 496.1,,51.75,-30.28,-8.82,-41.02,K,K8V,0.05257750822566938,9.05,1,
932,GJ 3218,,51.77,32.74,39.65,-6.02,M,M2,0.006211550208324409,11.37,1,
933,GJ 3261,,51.77,24.65,45.23,5.18,M,dM5  e,0.0015317927158934159,12.89,1,
934,GJ 3294,,51.77,18.82,45.65,15.57,K,k-m,0.0003259867889045,14.57,1,
935,GJ 3320,,51.77,11.91,45.43,21.78,M,M2.5,0.005460092497542737,11.51,1,
936,GJ 3492,,51.77,-6.82,10.35,-50.26,K,k-m,0.003992087024388079,11.85,1,
937,GJ 3625,,51.77,-9,2.92,-50.9,M,m,0.0009145343031205,13.45,1,
938,GJ 3690B,,51.77,-50.95,1.71,9,M,m,0.0002193814991898,15,1,
939,Gl 461A,,51.77,-51.56,-4.61,0.53,M,M0 V,0.0200078305215239,10.1,1,
940,GJ 1167A,,51.77,-43.22,-13.54,25.09,M,dM5,0.000466874334392,14.18,1,
941,Gl 708.3,,51.77,3.68,-51.62,1.37,M,M5,0.002153773355662175,12.52,1,
942,GJ 4102,,51.77,2.3,-6.29,-51.34,M,M3.5,0.001824735830762581,12.7,1,
943,GJ 4262,,51.77,46,-23.64,-2.3,K,k-m,0.003056328280365963,12.14,1,
944,GJ 1268,,51.77,29.17,-12.84,40.8,M,m+,0.0002318462095413,14.94,1,
945,GJ 4292,,51.77,45.3,-15.73,19.51,M,m,0.0002193814991898,15,1,
946,GJ 4319,,51.77,50.47,-9.78,6.08,K,k,0.0012167462039791297,13.14,1,
947,GJ 4355,,51.77,51.09,-4.73,-6.93,D,DA,0.0010894316796591327,13.26,1,
948,GJ 3885,,51.77,-34.12,-34.43,18.18,M,M3,0.003172,12.1,1,
949,Gl 637,,51.8,-4.66,-14.43,-49.53,M,M,0.006274801619978514,11.36,1,
950,Gl 3,,51.82,19.55,0.45,-47.99,K,K5V,0.08830799004185622,8.49,1,
951,Gl 430.1,,51.84,-47.47,5.89,19.98,,,0.01653484012171151,10.31,1,
952,Gl 602,1Chi Her,51.84,-20.17,-32.49,34.99,F,F9V,3.179801427691526,4.6,1,
953,GJ 3463,,51.94,-24.24,45.66,5.02,M,m,0.0002779713267759,14.75,1,
954,GJ 1169,,51.94,-43.37,-15.05,24.28,M,m,0.001096478196143184,13.26,1,
955,Gl 207.1,,51.98,5.94,51.61,1.76,M,M2.5Ve,0.005405053537086685,11.53,1,
956,Gl 841 A and B,Gl 841,52.09,28.22,-16.68,-40.49,M,M0,0.016259337000250215,10.36,2,
957,GJ 1120 A and B,GJ 1120,52.1,-35.74,35.34,13.72,M,M0V:p...,0.1216953019211855,8.67,2,
958,Gl 421 A and B and C,Gl 421,52.16,-48.63,9.6,-16.24,K,K7V,0.0408450951872317,9.97,3,
959,Gl 838,,52.17,29.69,-19.23,-38.34,G,G2V,1.318256738556407,5.57,1,
960,GJ 3366,,52.18,2.91,51.89,-4.73,M,m,0.0003407218616594,14.54,1,
961,GJ 1254,,52.18,15.35,-19.35,45.97,M,m,0.002189777555098574,12.52,1,
962,Gl 112.1,,52.22,38.24,33.92,10.66,K,K5,0.08180879579457473,8.59,1,
963,Gl 263,,52.26,-14.23,49.37,-9.53,M,M5,0.009323951375406328,10.95,1,
964,GJ 3232,,52.27,29.8,39.01,17.96,K,K7 V,0.010804383723712297,10.79,1,
965,Gl 152,,52.28,22.92,34.04,-32.39,K,K1V,0.35776676993611056,6.99,1,
966,Gl 372,,52.33,-44.43,27.44,-3.37,M,M0,0.013765753865094156,10.53,1,
967,Gl 508.2,,52.33,-40.57,-14.96,29.47,M,M0,0.012670682249985478,10.62,1,
968,Gl 862,,52.39,41.85,-17.49,-26.21,K,K4V,0.19570413414806748,7.65,1,
969,Gl 332 A and B,Gl 332,52.41,-27.71,27.56,34.92,F,F5V,6.654248020018832,3.96,2,
970,HIP 111391,,52.44,44.13,-17.38,-22.36,,,0.007118688672622803,11.25,1,
971,Gl 579,,52.44,-32.51,-34.68,22.1,K,K7 V,0.020720488977590042,10.09,1,
972,GJ 3972,,52.45,-15.91,-47.72,14.88,M,M:,0.004537326169379409,11.74,1,
973,Gl 891,,52.46,46.07,-10.16,-22.94,,,0.006995197810512128,11.27,1,
974,Gl 750 A and B,Gl 750,52.5,12.01,-34.52,-37.7,K,K9V...,0.05970915188248808,9.38,2,
975,GJ 1174,,52.52,-34.36,-16.05,36.33,M,M3,0.0017782794100389228,12.76,1,
