rank,name,alternates,distance_ly,x,y,z,spectral_class,spectral_type,luminosity,magnitude,star_count,wikipedia
109,Gl 667 A and B and C,Gl 667,22.3,-3.25,-17.97,-12.78,K,K4V,0.23525139130718978,5.91,3,
110,Gl 880,,22.33,20.59,-5.85,6.36,M,M2:,0.013765753865094156,8.68,1,
111,Gl 293,,22.54,-4.04,7.5,-20.87,D,DQ9,0.0000970957006529,14.08,1,
112,Gl 809,,22.99,7.37,-7.81,20.33,M,M2V,0.016458869432193036,8.55,1,
113,Gl 393,,23.05,-21.25,8.92,0.34,M,M2,0.006003437587325644,9.65,1,
114,268 G. Cet A and B,Gl 105,23.42,18.06,14.64,2.81,K,K3V,0.21795099951611602,5.79,2,268_G._Cet
115,GJ 3737,,23.46,-18.13,-3.1,-14.57,M,M4,0.0003614098626396,12.74,1,
116,GJ 1286,,23.53,23.37,-2.54,-0.98,M,M5,0.0000603114819618,14.69,1,
117,GJ 4053,,23.75,0.79,-9.56,21.73,M,m,0.0001874131239977,13.48,1,
118,GJ 1230 A and B,GJ 1230,23.98,3.89,-21.42,10.05,K,k-m,0.000634428292535,12.4,2,
119,GJ 3991,,24.28,-3.84,-17.14,16.77,M,M3,0.000945366045958,11.77,1,
120,96 G. Psc,Gl 33,24.31,23.67,5.07,2.24,K,K2V,0.24479356661960658,5.74,1,96_G._Psc
121,GJ 4274,,24.32,21.14,-9.51,-7.36,M,M4,0.0002427727847681,13.25,1,
122,Gl 19,Bet Hyi,24.33,5.33,0.6,-23.73,G,G2IV,3.6074473386419155,2.82,1,
123,Gl 109,,24.49,16.67,14.52,10.55,M,M3.5Ve,0.002959374995343386,10.55,1,
124,HIP 62951,,24.55,-22.7,-5.45,-7.6,A,A2,0.019480495532907652,8.51,1,
125,GJ 2005,,24.56,21.69,2.35,-11.19,M,M5.5,0.0000335428530833,15.42,1,
126,Gl 68,107    Psc,24.57,20.78,9.97,8.51,K,K1V,0.3962780342554391,5.24,1,
127,GJ 1224,,24.58,0.78,-23.62,-6.76,M,m,0.0001747430855267,13.63,1,
128,Gl 53 A and B,Gl 53|30Mu  Cas,24.64,13.53,4.16,20.16,G,G5Vp,0.4269896245112806,5.17,2,
129,GJ 3378,,24.67,-0.06,12.48,21.28,M,m,0.0010318106352675907,11.71,1,
130,Gl 879,,24.82,20.34,-5.79,-12.99,K,K4Vp,0.12906247820605365,6.48,1,
131,GJ 3193B,,24.9,16.74,17.01,-7.11,M,M3,0.000967386449969,11.8,1,
132,GJ 3192,,24.9,16.74,17.01,-7.11,M,M3,0.00272898,10.96,1,
133,Gl 514,,24.97,-22.69,-9.4,4.5,M,M1V,0.01224616199265047,9.05,1,
134,Vega,Gl 721|3Alp Lyr,25.04,3.13,-19.27,15.69,A,A0Vvar,49.93441887213498,0.03,1,Vega
135,Gl 673,,25.12,-3.74,-24.82,0.93,K,K7V,0.04979663541644856,7.54,1,
136,Fomalhaut,Gl 881|24Alp PsA,25.13,21.04,-5.87,-12.42,A,A3V,17.587333541355722,1.17,1,Fomalhaut
137,GJ 3417,,25.28,-2.94,11.37,22.39,M,m,0.0001814679779397,13.65,1,
138,GJ 1093,,25.3,-6.13,23.07,8.38,M,m,0.0000613196969716,14.83,1,
139,Gl 701,,25.31,0.57,-25.26,-1.34,M,M2V,0.009366988779521163,9.37,1,
140,Gl 480.1,,25.38,-18.1,-3.25,-17.49,M,M4,0.0006698846094165,12.24,1,
141,Gl 915,,25.44,18.56,0.18,-17.4,A,DA5,0.0003194478724209,13.05,1,
142,Gl 382,,25.67,-22.83,11.6,-1.68,M,M3,0.010665961212302578,9.26,1,
143,GJ 3789,,25.89,-20.79,-8.8,12.66,M,M4  e,0.0009103323996799,11.95,1,
144,GJ 1087,,26.07,0.41,25.95,2.44,D,DAP9,0.000127526370646,14.1,1,
145,Gl 793,,26.08,6.62,-8.58,23.72,M,M3,0.003385322128153541,10.54,1,
146,Gl 257 A and B,Gl 257,26.12,-4.66,18.11,-18.24,M,M4+...,0.0038213757727902625,10.81,2,
147,GJ 1276,,26.26,25,-7.42,-3.1,D,DZ9+,0.0000310170149948,15.65,1,
148,Gl 623,,26.28,-7.09,-15.96,19.64,M,M3,0.0044096081645063736,10.27,1,
149,Gl 713A,44Chi Dra,26.28,0.72,-7.77,25.1,F,F7Vvar,2.1498096103893576,3.55,1,
150,GJ 4063,,26.3,3.03,-19.88,16.95,M,M3  p,0.0015317927158934159,11.42,1,
151,Tabit,Gl 178|1Pi 3Ori,26.32,7.87,24.91,3.19,F,F6V,3.003308878676558,3.19,1,Tabit
152,Gl 686,,26.37,-2.41,-24.88,8.41,M,M1,0.008083510373900676,9.62,1,
153,GJ 2034,,26.52,7.33,15.91,-19.91,A,DA8,0.0001037528415818,14.36,1,
154,GJ 1123,,26.52,-4.23,3.65,-25.92,M,m,0.0003311311214826,13.1,1,
155,GJ 1289,,26.52,21.25,-1.57,15.79,K,k,0.0005395106225151,12.57,1,
156,Gl 493.1,,26.56,-25.51,-6.9,2.63,M,dM5  e,0.0002521157630807,13.4,1,
157,p Eridani,p Eridani|Gl 66,26.57,13.41,6.24,-22.08,K,K2 V,0.5414222385429072,5.76,2,p_Eridani
158,Gl 747 A and B,Gl 747,26.6,6.53,-21.45,14.31,M,M3.5 J,0.0018380678163369352,11.86,2,
159,Gl 518,,26.69,-24.31,-10.89,1.71,D,DZ9,0.0000805378441199,14.65,1,
160,Gl 54,,26.73,9.77,3.1,-24.68,K,K,0.007027486176561337,9.8,1,
161,GJ 1151,,26.78,-17.77,0.7,20.01,M,m,0.0002943065989699,13.25,1,
162,Gl 884,,26.8,23.92,-6.38,-10.27,K,K5/M0V,0.04145720317867258,7.88,1,
163,Gl 48,,26.86,8.13,2.28,25.5,M,M3.5e,0.006020048636844589,9.98,1,
164,GJ 1227,,26.89,1.23,-12.54,23.75,M,m,0.0002560943517157,13.41,1,
165,Gl 831 A and B,Gl 831,27.06,21.25,-16.11,-4.6,M,M4e...,0.0010475991826028,11.96,2,
166,Gl 695 A and B and C,Gl 695|86Mu  Her,27.11,-1.42,-23.95,12.61,G,G5IV,2.584898636310704,3.42,3,
167,Gl 232,,27.18,-2.68,24.79,10.81,M,M4.5,0.0003610771451004,13.06,1,
168,Gl 618 A and B,Gl 618,27.21,-9.12,-19.56,-16.58,M,M4,0.003757535060126329,10.56,2,
169,Gar,Gl 486,27.3,-26.32,-5.59,4.62,M,M4,0.0016966802323464623,11.39,1,Gar
170,Gl 438,,27.41,-16.89,1.23,-21.55,K,K0,0.004413671434634396,10.36,1,
171,Chara,Gl 475|8Bet CVn,27.53,-20.44,-3.03,18.19,G,G0V,1.2496833972112191,4.24,1,Chara
172,GJ 3146,,27.59,22.2,15.05,6.49,M,m,0.0000301161880308,15.79,1,
173,GJ 1154A,,27.59,-27.54,-1.72,0.3,M,m,0.0002008167804184,13.73,1,
174,GJ 1057,,27.62,18.29,20.56,2.3,M,m,0.0001886253245351,13.8,1,
175,GJ 3076,,27.64,25.36,8.17,7.36,M,m,0.0001128236121649,14.36,1,
176,HIP 18899,,27.9,13.15,23.5,-7.29,,,0.004369180633852877,10.41,1,
177,Gl 506,61    Vir,27.9,-24.95,-8.89,-8.77,G,G5V,0.8098414473257883,4.74,1,
178,GJ 3517,,27.92,-19.15,20.25,-1.7,M,m,0.0000019284127756,18.8,1,
179,Gl 185 A and B,Gl 185,27.97,6.48,25.25,-10.14,M,M0V,0.03438326155679161,8.31,2,
180,Gl 450,,28,-22.84,0.89,16.17,M,M1V,0.00800940030533287,9.76,1,
181,Gl 17,Zet Tuc,28.01,11.85,1.04,-25.36,F,F9V,1.3049684141302225,4.23,1,
182,GJ 1105,,28.1,-10.41,18.36,18.55,M,M4V,0.001006468066438325,12.02,1,
183,Gl 877,,28.1,6.78,-1.95,-27.2,K,K,0.004389347855347169,10.42,1,
184,Gl 222A,54Chi1Ori,28.26,0.65,26.5,9.79,G,G0V,1.1460405911366023,4.39,1,
185,HIP 31292,,28.31,-1.03,6.95,-27.43,,,0.0017914306484060245,11.41,1,
186,Gl 867 A and B,Gl 867,28.36,24.89,-9.21,-9.99,M,M0Vpe,0.017356683168004844,9.06,2,
187,GJ 3839,,28.36,-19.94,-13.58,14.91,M,m,0.0003791403441833,13.1,1,
188,Gl 183,,28.4,7.22,27.32,-2.85,K,K3V,0.21478304741305337,6.22,1,
189,Gl 250 A and B,Gl 250,28.41,-6.4,27.56,-2.56,K,K3V,0.1602402033583663,6.58,2,
190,Gl 745 A and B,Gl 745,28.55,7.71,-25.53,10.17,M,M2,0.0064217827604811754,10.76,2,
191,Gl 791.2,,28.56,17.12,-22.35,4.81,M,dM6  e,0.0004025316189742,13.05,1,
192,GJ 3667,,28.61,-26.92,3.63,8.98,D,DC8,0.000204173794467,13.79,1,
193,GJ 1103 A and B,GJ 1103,28.66,-13.45,25.32,0,M,m,0.00033490589628600004,13.5,2,
194,Gl 666 A and B,Gl 666,28.71,-3.5,-19.4,-20.87,M,M0V,0.460193478971167,5.47,2,
195,Gl 203,,28.74,3.94,28.05,4.81,M,M5,0.0006886522963443,12.48,1,
196,Gl 465,,28.87,-27.26,-2.97,-9.04,M,M4,0.002098939883623522,11.28,1,
197,Gl 433,,28.97,-24.28,2.61,-15.58,M,M2V,0.008188417919005117,9.81,1,
198,GJ 4247,,29.04,22.21,-12.66,13.77,,,0.001104587183988628,11.99,1,
199,Gl 318,,29.04,-15.8,18.57,-15.8,A,DA6,0.0012223624492787315,11.88,1,
200,Gl 785,,29.06,14.41,-21.51,-13.21,K,K3V,0.3531831697919567,5.73,1,
201,Gl 424,,29.09,-11.72,2.06,26.54,M,M1Vvar,0.013073744701631328,9.31,1,
202,HIP 94223,,29.09,5.91,-18.51,-21.64,,,0.005355499708401133,10.28,1,
203,Gl 216 A and B,Gl 216|13Gam Lep,29.12,1.82,26.85,-11.12,F,F7V,2.7919997469540667,3.59,2,
204,GJ 3128,,29.12,24.67,14.57,5.23,M,m,0.0000395913216728,15.61,1,
205,Gl 283 A and B,Gl 283,29.12,-11.78,25.17,-8.72,D,DZQ6,0.0004569028490117,13,2,
206,GJ 3707,,29.12,-28.09,-1.24,-7.57,M,m,0.0010413578615284342,12.06,1,
207,GJ 3820,,29.12,-23.77,-13.61,-9.88,K,K2 :,0.0004381269820225,13,1,
208,GJ 4360,,29.38,28.16,-1.78,-8.18,M,m,0.0001119953522385,14.5,1,
209,Gl 51,,29.41,13.12,3.72,26.06,M,M5,0.0002432204009074,13.66,1,
210,HIP 31293,,29.42,-1.07,7.22,-28.5,,,0.005133339643802892,10.35,1,
211,Gl 357,,29.43,-22.13,16.07,-10.86,K,K,0.003067608976917938,10.91,1,
212,Rana,Gl 150|23Del Eri,29.49,16.33,24.04,-5,K,K0IV,2.782274657675122,3.52,1,Rana
213,Groombridge 1830 A and B,Gl 451,29.65,-23.44,0.72,18.14,G,G8Vp,0.19578332651023928,6.42,2,Groombridge_1830
214,Gl 849,,29.67,26.21,-13.69,-2.4,M,M3,0.004938556196176077,10.41,1,
215,GJ 2066,,29.75,-16.65,24.65,0.68,,,0.006735967762229425,10.08,1,
216,Gl 502,43Bet Com,29.78,-25.04,-8.12,13.92,G,G0V,1.4750271017597587,4.23,1,
217,Gl 137,96Kap1Cet,29.81,19.19,22.74,1.75,G,G5Vvar,0.843334757764275,4.84,1,
218,Gl 84,,29.82,24.29,14.75,-9.02,M,M3,0.0061094202490557204,10.19,1,
219,GJ 3421,,29.9,-4.99,17.41,23.78,M,M4.5,0.0003502676269138,13.3,1,
220,GJ 3325,,30.03,7.01,27.79,-8.97,K,K:,0.0015289736466907106,11.71,1,
221,Gl 442 A and B,Gl 442,30.07,-22.83,1.34,-19.53,G,G3/G5V,0.8196706566208113,4.89,2,
222,Gl 827,Gam Pav,30.21,9.87,-7.82,-27.46,F,F6V,1.5459662193866741,4.21,1,
223,Gl 190,,30.24,6.39,28.01,-9.43,M,M5,0.005786287388179515,10.28,1,
224,GJ 3135,,30.25,22.31,13.65,-15.21,K,K:...,0.0010346655758424353,12.15,1,
225,Gl 176,,30.25,9.44,27.01,9.83,M,M2,0.00784151540528121,9.95,1,
226,GJ 3801,,30.26,-22.8,-10.96,16.61,M,M:,0.0011566447741656449,12.03,1,
227,GJ 3380,,30.26,-0.21,19.5,23.13,M,m,0.0001221237130165,14.47,1,
228,GJ 1253,,30.31,9.41,-12.7,25.87,M,M5,0.0001821377637105,14.04,1,
229,Gl 226,,30.57,-0.19,4.19,30.28,M,M3,0.0049158655915686154,10.48,1,
230,HD 39170,,30.67,1.25,30.63,-0.76,F,F0,0.013626991969948696,9.38,1,
231,HIP 14101,,30.72,20.65,20.99,-8.77,,,0.0053456435939697195,10.4,1,
232,Gl 358,,30.88,-19.06,13.37,-20.29,M,M:,0.00402161044334213,10.72,1,
233,Gl 694,,30.92,-1.57,-22.41,21.23,M,M3,0.004984252094042599,10.49,1,
234,GJ 3988,,31,-4.73,-18.75,24.23,K,k-m,0.0002964831389524,13.56,1,
235,GJ 3306,,31.03,10.76,28.72,-4.76,D,DQ7,0.0002447935666196,13.77,1,
236,GJ 1065,,31.09,16.53,26.13,-3.3,M,dM4,0.000605898671139,12.79,1,
237,Gl 432 A and B,Gl 432,31.18,-26.04,2.91,-16.9,K,K0V,0.3287794376141905,5.96,2,
238,Gl 633,,31.18,-7.34,-20.38,-22.44,M,M3,0.0006742174675762,12.68,1,
239,GJ 1207,,31.24,-8.44,-29.99,-2.37,M,dM3.5,0.000978137704323,12.28,1,
240,GJ 1001,,31.3,23.72,0.49,-20.41,M,M3.5,0.000586678266402,12.84,1,
241,Gl 434,61    UMa,31.35,-25.84,2.14,17.62,G,G8Vvar,0.6047835918818003,5.31,1,
242,GJ 3253,,31.36,15.81,25.48,9.18,M,M4.5,0.0002666858664521,13.7,1,
243,GJ 3275,,31.36,12.26,26.95,10.34,M,dM4.5e,0.0005571857489319,12.9,1,
244,Gl 569A,,31.49,-21.9,-20.87,8.73,M,M2Ve,0.007331620890272116,10.11,1,
245,GJ 1125,,31.52,-25.07,19.11,0.18,K,K:...,0.0016842245750827022,11.71,1,
246,GJ 3855,,31.57,-12.6,-9.73,27.27,M,M6.5,0.0000057491018157,17.88,1,
247,HIP 84581,,31.58,-5.78,-30.74,-4.33,,,0.002992264636608186,11.09,1,
248,Gl 479,,31.61,-19.2,-3.2,-24.91,M,M3,0.0044957277130190515,10.65,1,
249,Gl 680,,31.72,-2.26,-20.82,-23.82,K,K5,0.0073046598952041025,10.13,1,
250,HIP 70185,,31.77,-24.87,-17.67,-8.9,,,0.0003445085462866,13.45,1,
251,Gl 239,,31.79,-4.89,29.91,9.59,M,M1:,0.01163054323328467,9.63,1,
252,Gl 631,12    Oph,31.8,-11.34,-29.68,-1.29,K,K2V,0.4073802778041125,5.77,1,
253,Gl 102,,31.85,22.64,17.94,13.42,M,M4,0.0005435005651294,12.96,1,
254,GJ 1138,,31.85,-24.71,7.82,18.52,M,m,0.0005142804319488,13.02,1,
255,Gl 638,,31.99,-8.56,-25.26,17.66,K,K7V,0.04821697939006181,8.1,1,
256,GJ 1256,,32.1,19.94,-23.64,8.57,M,dM4-5,0.0003584264080437,13.43,1,
257,Añañuca,Gl 367,32.19,-18.64,12.52,-23.07,M,M1:,0.0069310654514993675,10.22,1,Añañuca
258,GJ 3049,,32.29,23.83,4.57,-21.31,M,M4,0.000491133999647,13.1,1,
259,Gl 803,,32.32,18.22,-20.74,-16.81,M,M1Ve,0.02558585886905644,8.81,1,
260,GJ 2012,,32.36,29.44,5.38,-12.3,D,DQ9,0.0001321904253442,14.53,1,
261,Gl 49,,32.49,14.52,4.07,28.77,K,K5V...,0.012953883889748883,9.56,1,
262,HIP 12703,,32.51,14.42,12.45,-26.34,,,0.0011835864919618605,12.16,1,
263,Gl 678.1A,,32.54,-4.17,-32.12,3.15,M,M1V...,0.016069412530128755,9.33,1,
264,GJ 3512,,32.55,-10.69,12.59,28.05,M,m,0.0000828705077907,15.05,1,
265,HD 223889,,32.59,8.08,-0.22,-31.57,M,M...,0.008774047879567527,9.99,1,
266,GJ 1028,,32.62,29.76,8.66,-10.15,M,m,0.0001432187899274,14.46,1,
267,GJ 3119,,32.62,28.7,15.11,-3.48,M,m,0.0001258925411794,14.6,1,
268,GJ 3126,,32.62,12.43,7.29,29.26,M,M4,0.003372873086588689,11.03,1,
269,GJ 3304,,32.62,10.04,26.93,15.42,M,m,0.0008472274141406,12.53,1,
270,GJ 3959,,32.62,-9.31,-22.84,21.34,M,m+,0.0001056817509214,14.79,1,
271,GJ 3976,,32.62,-8.94,-28.79,12.46,M,m,0.0002032357010936,14.08,1,
272,GJ 4248,,32.62,22.67,-12.76,-19.67,M,M3.5,0.001659586907437558,11.8,1,
273,Gl 352 A and B,Gl 352,32.65,-25.3,19.18,-7.62,M,M2,0.012890124464819557,10.06,2,
274,Gl 536,,32.71,-28.22,-16.47,-1.51,K,K5,0.011439314495393055,9.71,1,
275,Gl 609,,32.81,-15.03,-26.79,11.54,M,M3,0.0008340651974087,12.56,1,
276,Gl 22 A and B,Gl 22,32.83,12.58,1.79,30.27,M,M2.5Ve,0.007860124322525976,10.27,2,
277,HD 122064,,32.83,-13.65,-7.69,28.85,K,K3V,0.22366601494661753,6.49,1,
278,Gl 75,,32.84,12.9,6.56,29.48,K,K0V,0.4943106869868351,5.63,1,
279,GJ 3079,,32.95,31.3,10.24,-1.07,D,DAwk,0.0002054944041345,14.09,1,
280,Gl 172,,32.98,6.99,18.62,26.3,K,K8V,0.03173949408562225,8.62,1,
281,Noquisi,Gl 436,33.08,-29.46,2.29,14.86,M,M3,0.004830588020397724,10.67,1,Noquisi
282,Gl 453,,33.13,-29.33,0.26,-15.4,K,K4V,0.14374740058743607,6.99,1,
283,Gl 568 A and B,Gl 568,33.15,-22.05,-20.9,13.25,,,0.0029550413824995254,11.53,2,
284,GJ 1235,,33.15,10.81,-29.04,11.81,K,k-m,0.0003999447497611,13.38,1,
285,GJ 3526,,33.18,-8.88,8.65,30.78,M,m,0.0007848741034887,12.65,1,
286,Gl 660 A and B,Gl 660,33.22,-6.92,-32.47,-1.07,G,G,0.00371590017217161,11.45,2,
287,Gl 852 A and B,Gl 852,33.25,29.62,-14.24,-5.09,M,dM4.5e,0.000552510407473,13.4,2,
288,Gl 231,Alp Men,33.26,-0.39,8.74,-32.09,G,G5V,0.8417827076608124,5.08,1,
289,GJ 1129,,33.28,-26.27,17.59,-10.4,M,m,0.0008271799518641,12.6,1,
290,GJ 3571,,33.28,-26.5,16.25,11.9,M,m,0.0002175704950926,14.05,1,
291,Gl 487,,33.31,-13.18,-2.87,30.46,M,M4,0.0038229621656591935,10.94,1,
292,Gl 748,,33.34,10.32,-31.65,1.68,M,M4,0.0033327289957613792,11.09,1,
293,Gl 127.1 A and B,Gl 127.1,33.4,8.21,9,-31.09,D,DA,0.002652597693280562,11.39,2,
294,GJ 3804,,33.41,-28.45,-14.16,-10.31,M,M:,0.0017250432972458441,11.81,1,
295,Gl 846,,33.41,29.09,-16.43,0.82,M,M0,0.01964264645879853,9.17,1,
296,GJ 3182,,33.62,14.52,13.14,27.34,D,DC9,0.0000689286860732,15.32,1,
297,GJ 1083A,,33.73,2.61,30.51,14.15,M,m,0.0001069547310566,14.85,1,
298,Gl 339.1,,33.73,-15.17,13.19,27.09,D,DXP7,0.0002686581377269,13.85,1,
299,Gl 649,,33.74,-8.1,-29.29,14.65,M,M2,0.012291361730601675,9.7,1,
300,Gl 117,,33.76,24.03,22.51,-7.46,K,K1V,0.35481338923357547,6.05,1,
301,GJ 3147,,33.76,22.73,15.5,19.58,M,m+,0.0000374973002245,15.99,1,
302,GJ 1119,,33.76,-16.45,16.37,24.53,M,m,0.000438530697775,13.32,1,
303,Pollux,Gl 286|78Bet Gem,33.78,-13.23,26.73,15.87,K,K0IIIvar,32.09223768048434,1.16,1,Pollux
304,Gl 431,,33.78,-25.28,3.13,-22.18,M,M,0.0022407840267860547,11.55,1,
305,GJ 1134,,33.9,-25.3,9.01,20.69,M,m,0.0006047835918818,12.98,1,
306,Gl 452.1,,33.94,-33.43,0.86,5.78,M,M3.5,0.0007351906920716,12.77,1,
307,Gl 87,,33.97,28.4,18.51,2.12,M,M3V:,0.009103323996799088,10.04,1,
308,Alula Australis B,Alula Australis|Gl 423|53Xi  UMa,33.97,-28.48,5.25,17.76,G,G0 Ve,2.88884583663586,4.33,2,Alula_Australis
309,GJ 4071,,33.97,6.11,-32.41,8.16,M,m,0.0007105587633695,12.81,1,
310,Gl 595,,34.01,-18.15,-26.44,-11.34,M,M5,0.0017554966296212313,11.83,1,
311,Gl 170,,34.01,9.95,24.14,21.79,M,M4.5,0.000258463963577,13.91,1,
312,GJ 1265,,34.05,29.01,-14.51,-10.34,M,m,0.0003541604004265,13.57,1,
313,Gl 341,,34.12,-13.04,10.78,-29.64,M,M0V,0.015247547676599162,9.49,1,
314,GJ 3412A,,34.18,-3.89,16.18,29.86,M,M:,0.0037739835253658574,11.01,1,
315,GJ 3125,,34.33,8.38,4.93,32.93,M,m,0.0002169701553801,14.12,1,
316,GJ 3270,,34.33,14.7,30.58,5.27,M,dM4  e,0.0002860223693954,13.82,1,
317,GJ 3849,,34.33,-22.89,-17.36,18.79,M,dM9,0.000001225744632,19.74,1,
318,Gl 124,Iot Per,34.38,15.12,16.36,26.19,G,G0V,2.320598461598921,4.05,1,
319,Gl 373,,34.45,-13.51,8.1,30.64,M,M2,0.02463769076721767,8.99,1,
320,Gl 488,,34.48,-33.63,-7.57,-0.46,M,M0.5V,0.03912010393873508,8.49,1,
321,Gl 654,,34.48,-8.13,-33.37,-3.06,M,M0V,0.009044821490475901,10.08,1,
322,GJ 3459,,34.58,-13.46,29.29,-12.52,M,M2,0.0020835311605717456,11.68,1,
323,GJ 1206,,34.68,-5.48,-16.97,29.75,D,DA,0.0012508349283740653,12.24,1,
324,GJ 3010,,34.7,32.4,1.26,12.34,M,m,0.0003780941866833,13.54,1,
325,HIP 21000,,34.82,13.24,32.04,3.22,F,F8+...,0.01160913870126181,9.83,1,
326,GJ 1232,,34.85,9.96,-31.67,10.57,K,k-m,0.0003886869861373,13.52,1,
327,Gl 617 A and B,Gl 617,34.86,-5.87,-12.14,32.14,M,M0Vvar,0.04109775958627902,8.61,2,
328,Gl 799 A and B,Gl 799,34.88,19.11,-22.4,-18.71,M,Mpe,0.01139372251891882,10.27,2,
329,Gl 508 A and B,Gl 508,34.92,-22.06,-8,25.86,K,K0,0.05173782233786595,8.48,2,
330,Gl 653,,34.92,-8.26,-33.79,-3.08,K,K5V,0.0830233015924954,7.7,1,
331,Gl 635 A and B,Gl 635|40Zet Her,34.95,-10.02,-28.03,18.31,F,F9IV,8.218330600422368,2.81,2,
332,GJ 9492,,35.01,-10.79,-9.24,31.99,M,M3,0.004462723707622523,10.88,1,
333,Gl 145,,35.03,14.9,19.94,-24.64,,,0.002594179362118812,11.47,1,
334,Gl 766 A and B,Gl 766,35.03,13.88,-27.92,15.97,M,dM4.5 J,0.0011271829941193,12.91,2,
335,Gl 413.1,,35.07,-31.12,6.97,-14.6,M,M:,0.006717381285473807,10.44,1,
336,Gl 86,,35.17,18.72,11.97,-27.26,K,K0V,0.361077145100353,6.12,1,
337,Gl 92,8Del Tri,35.17,24.04,16.37,19.78,G,G0V,1.1738159324832202,4.84,1,
338,Gl 553.1,,35.28,-27.26,-21.11,-7.51,M,M4,0.001739402139780303,11.92,1,
339,Gl 47,,35.3,16.31,4.47,30.98,M,dM2.5e,0.004751163763775616,10.83,1,
340,GJ 3928,,35.45,-14.97,-24.8,20.44,M,m,0.000347056354008,13.68,1,
341,GJ 4281,,35.49,31.83,-13.36,-8.24,M,M6.5,0.0000143615065291,17.14,1,
342,Gl 909 A and B,Gl 909,35.52,8.86,-0.29,34.4,K,K3V,0.29723928380188697,6.36,2,
343,Gl 740,,35.58,8.86,-34.26,3.66,M,M2V,0.021261798598625196,9.22,1,
344,Gl 228 A and B,Gl 228,35.59,-1.67,34.97,6.37,M,M3,0.008117633044791276,10.41,2,
345,Zavijava,Gl 449|5Bet Vir,35.65,-35.6,1.45,1.1,F,F8V,3.8124135110429895,3.59,1,Zavijava
346,GJ 1236,,35.65,12.4,-33.14,4.37,M,m,0.001194538082933885,12.35,1,
347,Gl 519,,35.67,-26.38,-11.95,20.82,M,M9,0.024751413180743125,9.06,1,
348,Gl 545,,35.8,-28.91,-20.27,-5.99,M,M4,0.0007257716502674,12.9,1,
349,GJ 4333,,35.84,33.74,-5.7,10.65,M,M:,0.0021978598727848252,11.7,1,
350,GJ 3210,,35.84,14.01,15.66,-29.04,D,DZ7,0.0001324341535195,14.75,1,
351,Denebola,Gl 448|94Bet Leo,35.88,-34.68,1.66,9.03,A,A3Vvar,14.682499678319866,2.14,1,Denebola
352,Gl 688,,35.88,-3.23,-35.66,2.22,K,K3V,0.2575134990410312,6.53,1,
353,Gl 79,,35.9,29.24,15.68,-13.7,K,K5/M0V,0.029322432823031125,8.89,1,
354,Gl 706,,35.96,1.18,-28.13,22.36,K,K2V,0.29702978440178623,6.38,1,
355,GJ 1004,,35.96,22.88,1.22,27.72,A,DA8,0.0001908973941124,14.36,1,
356,GJ 1238,,35.96,3.23,-8.37,34.82,M,m+,0.0000753008710548,15.37,1,
357,GJ 1086,,36.04,1.36,36.01,-0.11,D,DQP8,0.0001609904076216,14.55,1,
358,Gl 27,54    Psc,36.07,33.12,5.75,13.07,K,K0V,0.4738053933388253,5.88,1,
359,GJ 2069 A and B,GJ 2069,36.09,-20.92,26.86,11.98,M,M5Ve,0.0021683064548249104,11.9,2,
360,Gl 505 A and B,Gl 505,36.11,-32.61,-11.36,10.57,K,K2V,0.28650853095863305,6.49,2,
361,Gl 63,,36.12,17.78,8.13,30.37,M,dM3,0.003571083458083453,11.19,1,
362,Gl 173,,36.2,12.49,33.26,-6.93,M,M1,0.00784151540528121,10.34,1,
363,GJ 1148,,36.22,-26.51,2.12,24.58,M,M5,0.0019355304139797437,11.86,1,
364,GJ 2036 A and B,GJ 2036,36.23,5.82,19.48,-29.99,M,M2Ve,0.0068169755156820035,10.73,2,
365,GJ 3140,,36.24,29.93,19.11,7.25,M,dM4,0.000878213279898,12.72,1,
366,GJ 3396,,36.24,-3.76,26.88,24.01,M,m,0.0001257766432451,14.83,1,
367,GJ 3592,,36.24,-18.1,8.92,-30.1,D,DZ9,0.0000980844136031,15.1,1,
368,GJ 4078,,36.24,4.19,-19.05,-30.54,M,m,0.0008945404837789,12.7,1,
369,GJ 1277,,36.24,17.41,-4.95,-31.41,M,M4,0.0002509573963703,14.08,1,
370,Gl 107 A and B,Gl 107|13The Per,36.29,17.87,15.56,27.49,F,F7V,2.480980549789919,4.1,2,
371,Gl 320,,36.34,-18.49,21.4,-22.81,K,K2V,0.2523480772480574,6.58,1,
372,Gl 370,,36.39,-22.33,14.07,-25.05,K,K5V,0.09272567425805935,7.67,1,
373,GJ 1187,,36.48,-14.31,-14.05,30.48,M,m,0.0000668651772198,15.53,1,
374,GJ 3967,,36.52,-12.48,-34.32,0.45,M,m,0.0003650900524845,13.69,1,
375,Gl 754.1 A and B,Gl 754.1,36.61,12.49,-34.07,-4.88,M,dM5,0.0028361916520167002,12.12,2,
376,Gl 537 A and B,Gl 537,36.61,-21.74,-12.88,26.48,M,dM3  e,0.02409297056291477,9.85,2,
377,GJ 4065,,36.65,5.62,-35.17,8.62,M,M3.5,0.0011407750129221192,12.46,1,
378,Gl 208,,36.66,3.68,35.76,7.2,K,K7,0.03385322128153541,8.78,1,
379,Gl 2,,36.7,25.58,0.58,26.3,M,M2,0.011545161169214311,9.95,1,
380,Gl 603,41Gam Ser,36.7,-18.14,-30.33,9.91,F,F6V,3.179801427691526,3.85,1,
