id,name,region,latitude,longitude,name_alternates,wikipedia,prominence_rank
w38-ngarluma,Ngarluma,SW WA / Pilbara,-20.982239359049,117.55639763374,Kymurra|Ngaluma|Gnalluma|Gnalooma|Gnalouma|Jaburarra|Jaburrara ngarluma|Karira Ngaluma|Naluma|Ngalama|Ngallooma|Ngalluma|Ngalooma|Paljari|Qualluana,Ngarluma language,91
s69-ngarrindjeri,Ngarrindjeri,SE Australia,-35.758230670523,139.26910023753,Narrinyeri|Jarildukald|Meintangk|Pirtulun|Ramindjeri|Tanganukald|Warki|Alkaiyana|Koiyana|Kokkaiya|Korariga|Kororega|Kowrarega|Narrinjeri|Wathai yunu|Ngarinyeri|Narinyerrie|Narrinyerree|Narinjari|Yaralde,Ngarrindjeri language,92
g17-ngawun,Ngawun,Gulf Country,-19.802685135729,141.96286370505,Ngewin|Naungaun|Ngaon|Ngaun|Nounun|Nouun,Ngawun language,93
a61-nyangumarta,Nyangumarta,Western Desert (WA),-20.479420766843,122.02895891035,Njangumarta|Nyangumarda|Iparuka|Kundal|Ngolibardu|Ngurlipartu|Walyirli|Wanyarli|I:baruga|Ibarga|Ibargo|Ibarrga|Kularupulu|Nangamada|Nangamurda|Nangumada|Nangumarda|Nangumurdu|Ngapakarna|Ngapakoreilitja|Ngardungardu|Ngulipartu|Njadamarda|Njangamada|Njangamarda|Njangomada|Njangumada|Njangumarda|Njanjamarta|NungooMurdoo|Nyaumada|Nyangamada|Nyangumada|Nyangumata|Tjilakurukuru|Waljuli Njangamarda|Warmala|Ibarga/Ibarrga/Ibargo|Nyangumurtu,Nyangumarta language,94
g6-pitta-pitta,Pitta Pitta,Gulf Country,-22.628422569678,139.72474432995,Pitha Pitha|Karanja|Kungkalenja|Pitapita|Rakkaia|Ringaringa|Bida Bida|Bitta Bitta|Bittha Bittha|Narrinyeri|Paruru|Ramindjerar|Ramindjeri|Ramingara|Raminjeri|Raminyeri|Ramong|Rormear|Tarbanawalun|Wangkahicho|Wangkahichs|Wangkapit:a|Wirramu mejo|Bidha Bidha,Pitta Pitta language,95
y184-uradhi,Uradhi,Cape York & Torres Strait,-11.890596380931,142.15906978815,Anggamudi|Ankamuti|Atampaya|Bawtjathi|Lotiga|Nggamadi|Utangikwathiya|Utudhanamu,Uradhi language,96
a39-wajarri-wadjarri,Wajarri / Wadjarri,Western Desert (WA),-26.100230390262,116.99308252226,Watjarri|Bidungu|Irawadjari|Mulyara|Nokaan|Wadjari|Waiawonga|Baialdju|Batiga|Cheangwa|Dhauerngu|Iirrawadari|Jamadji|Kurduwonga|Kurduwongga|Maliara|Miliara|Miliarra|Pidong|Wadari|Wadarri|Wadgaree|Wadhari|Wadjeri|Wadyari|Waian|Waianwonga|Wajari|Wajeri|Wajjari|Wajjiri|Wanmala|Wardal|Watjari|Wodjeri|Yabbaroo|Yabbooroo|Yajeri|Yamadgee|Yamaidyi|Yamaji|Wadyarri|Witjari|Wajarri|Wadjarri,Wajarri language,97
e28-wakka-wakka,Wakka Wakka,SE Queensland,-26.451334117667,151.90302899292,Waga Waga|Wakawaka|Bujiebara|Dungibara|Dungidau|Garumga|Garumngar|Kaiabara|Enibura|Gowrburra|Koolaburra|Mungar|Nukunukubara|Wa|Wabar|Waa|Wacca Wacca|Wackar|Waka|Wakar|Wakka|Wakkar|Waku wuka|Wapa|Wilili|Wililililee|Willillee|Woga|Wogga|Wokka|Wokkari|Wuka Wuka|Wuli wuli|Wulili|Woka|Wakar/Wackar|Woka Woka,Wakka Wakka language,98
n25-warray,Warray,Top End & Arnhem (NT),-13.163241744303,131.25381620883,Waray|Awara|Parlamarnyin|Warai|Wolwonga|Arwur|Awarai|Awarra|Awarrai|Warei|Warrai|Wulwongga|Woolwonga,Warray language,99
y134-warrgamay,Warrgamay,Cape York & Torres Strait,-18.43750867095,145.79793585959,Wargamay|Wargamaygan|Bandjin|Warakamai|Bungabara|Ieklbara|Waragamai|Waragumaigan|Waregamai|Warekumay|Warkama|Warkamai|Wargumay|Ikelbara,Warrgamay language,100
